MS SubClass,Overall Qual,Year Built,Year Remod/Add,BsmtFin Type 1,Total Bsmt SF,1st Flr SF,Gr Liv Area,Full Bath,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,SalePrice,SaleDate,House Age,Remodel Age,Age Bucket,Total SF,Total SF Plus Garage,Total Baths,Price per SF,Qual x SF,Season Sold,Exter Qual_Ord,Bsmt Qual_Ord,Heating QC_Ord,Kitchen Qual_Ord,Fireplace Qu_Ord,Functional_Ord,Neighborhood__BrkSide,Neighborhood__ClearCr,Neighborhood__CollgCr,Neighborhood__Crawfor,Neighborhood__Edwards,Neighborhood__Gilbert,Neighborhood__IDOTRR,Neighborhood__MeadowV,Neighborhood__NAmes,Neighborhood__NWAmes,Neighborhood__NoRidge,Neighborhood__NridgHt,Neighborhood__OldTown,Neighborhood__SWISU,Neighborhood__Sawyer,Neighborhood__Somerst,Neighborhood__StoneBr,Neighborhood__Timber,House Style__2Story,House Style__Other,House Style__SFoyer,Bldg Type__2fmCon,Bldg Type__Duplex,Bldg Type__Twnhs,Bldg Type__TwnhsE,Sale Condition__Normal,Sale Condition__Other,Sale Condition__Partial,Sale Type__New,Sale Type__Other,Sale Type__WD ,Garage Type__BuiltIn,Garage Type__Detchd,Garage Type__Other,Foundation__CBlock,Foundation__PConc,Foundation__Slab,Exterior 1st__CemntBd,Exterior 1st__HdBoard,Exterior 1st__MetalSd,Exterior 1st__VinylSd,Exterior 1st__Wd Sdng,Exterior 1st__WdShing,Exterior 2nd__CmentBd,Exterior 2nd__HdBoard,Exterior 2nd__MetalSd,Exterior 2nd__VinylSd,Exterior 2nd__Wd Sdng,Exterior 2nd__Wd Shng,Roof Style__Hip,MS Zoning__Other,MS Zoning__RL,MS Zoning__RM,Lot Shape__IR2,Lot Shape__Reg,Lot Config__CulDSac,Lot Config__Inside,Condition 1__Feedr,Condition 1__Norm,Condition 1__PosN
60,6,1993,1994,Unf,763.0,763,1655,2,1993.0,Fin,2.0,440.0,175900,2010-04-01,17,16,11-30,2418.0,2858.0,2.5,72.7460711331679,14508.0,Spring,3,4.0,4,3,3.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
20,6,1992,2007,ALQ,1168.0,1187,1187,2,1992.0,Fin,2.0,420.0,185000,2010-03-01,18,3,11-30,2355.0,2775.0,2.0,78.55626326963906,14130.0,Spring,3,4.0,5,3,0.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
60,6,1998,1998,Unf,789.0,789,1465,2,1998.0,Fin,2.0,393.0,180400,2010-05-01,12,12,11-30,2254.0,2647.0,2.5,80.03549245785271,13524.0,Spring,3,4.0,4,3,4.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
20,7,1990,1990,GLQ,1300.0,1341,1341,1,1990.0,Unf,2.0,506.0,171500,2010-02-01,20,20,11-30,2641.0,3147.0,1.5,64.9375236652783,18487.0,Winter,3,4.0,4,4,1.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
120,8,1985,1985,GLQ,1488.0,1502,1502,1,1985.0,RFn,2.0,528.0,212000,2010-06-01,25,25,11-30,2990.0,3518.0,1.5,70.90301003344482,23920.0,Summer,4,4.0,3,4,0.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
50,8,1988,2005,GLQ,559.0,1080,1752,2,1988.0,RFn,2.0,492.0,164000,2010-06-01,22,5,11-30,2311.0,2803.0,2.0,70.96495023799221,18488.0,Summer,4,4.0,4,3,0.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
20,4,1951,1951,LwQ,864.0,864,864,1,1951.0,Unf,2.0,400.0,141000,2010-06-01,59,59,30-60,1728.0,2128.0,1.0,81.59722222222223,6912.0,Summer,3,3.0,5,3,0.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False
20,6,1978,1988,ALQ,1542.0,2073,2073,2,1978.0,Unf,2.0,500.0,210000,2010-02-01,32,22,30-60,3615.0,4115.0,2.0,58.09128630705394,21690.0,Winter,3,4.0,3,3,3.0,7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
20,6,1977,1977,BLQ,1844.0,1844,1844,2,1977.0,RFn,2.0,546.0,190000,2010-01-01,33,33,30-60,3688.0,4234.0,2.0,51.51843817787419,22128.0,Winter,3,4.0,5,3,3.0,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
85,7,1974,1974,GLQ,1053.0,1173,1173,2,1974.0,RFn,2.0,528.0,170000,2010-01-01,36,36,30-60,2226.0,2754.0,2.0,76.37017070979336,15582.0,Winter,3,4.0,3,4,3.0,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
60,7,2000,2000,GLQ,814.0,814,1674,2,2000.0,RFn,2.0,663.0,216000,2010-01-01,10,10,≤10,2488.0,3151.0,2.5,86.81672025723472,17416.0,Winter,4,4.0,5,4,0.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
20,6,1970,1970,ALQ,1004.0,1004,1004,1,1970.0,Fin,2.0,480.0,149000,2010-03-01,40,40,30-60,2008.0,2488.0,1.0,74.20318725099601,12048.0,Spring,3,3.0,5,3,3.0,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
20,5,1971,2008,GLQ,1078.0,1078,1078,1,1971.0,Fin,2.0,500.0,149900,2010-04-01,39,2,30-60,2156.0,2656.0,1.5,69.52690166975881,10780.0,Spring,3,3.0,5,3,2.0,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
20,5,1968,1968,BLQ,1056.0,1056,1056,1,1968.0,Unf,1.0,304.0,142000,2010-07-01,42,42,30-60,2112.0,2416.0,1.0,67.23484848484848,10560.0,Summer,3,3.0,5,3,2.0,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False
20,4,1970,1970,ALQ,882.0,882,882,1,1970.0,Fin,2.0,525.0,126000,2010-04-01,40,40,30-60,1764.0,2289.0,1.0,71.42857142857143,7056.0,Spring,3,3.0,3,3,0.0,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
20,4,1971,1971,ALQ,864.0,864,864,1,,,0.0,0.0,115000,2010-04-01,39,39,30-60,1728.0,1728.0,1.0,66.55092592592592,6912.0,Spring,3,3.0,3,3,1.0,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
120,7,1999,1999,GLQ,1405.0,1337,1337,2,1999.0,Fin,2.0,511.0,184000,2010-06-01,11,11,11-30,2742.0,3253.0,2.0,67.10430342815464,19194.0,Summer,4,4.0,5,4,2.0,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
160,6,1971,1971,Rec,483.0,483,987,1,1971.0,Unf,1.0,264.0,96000,2010-02-01,39,39,30-60,1470.0,1734.0,1.5,65.3061224489796,8820.0,Winter,3,3.0,3,3,0.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False
160,5,1971,1971,Rec,525.0,525,1092,1,1997.0,Unf,1.0,320.0,105500,2010-03-01,39,39,30-60,1617.0,1937.0,1.5,65.24427952999382,8085.0,Spring,3,3.0,3,3,0.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False
160,6,1971,1971,Unf,525.0,525,1092,1,1971.0,Unf,1.0,264.0,88000,2010-03-01,39,39,30-60,1617.0,1881.0,1.5,54.42176870748299,9702.0,Spring,3,3.0,3,3,0.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False
120,6,1977,1977,ALQ,1069.0,1069,1069,2,1977.0,RFn,2.0,440.0,127500,2010-07-01,33,33,30-60,2138.0,2578.0,2.0,59.63517305893358,12828.0,Summer,3,4.0,3,3,2.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
160,6,1975,1975,ALQ,855.0,855,1456,2,1975.0,Unf,2.0,440.0,149900,2010-06-01,35,35,30-60,2311.0,2751.0,2.5,64.8636953699697,13866.0,Summer,3,3.0,3,4,3.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
120,7,1975,1975,Unf,836.0,836,836,1,1975.0,Unf,1.0,308.0,120000,2010-06-01,35,35,30-60,1672.0,1980.0,1.0,71.77033492822966,11704.0,Summer,3,4.0,5,3,0.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
160,6,1978,1978,ALQ,855.0,855,1456,2,1978.0,Unf,2.0,440.0,146000,2010-07-01,32,32,30-60,2311.0,2751.0,2.5,63.176114236261355,13866.0,Summer,3,4.0,2,3,3.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
60,9,2009,2010,Unf,1590.0,1627,2334,2,2009.0,Fin,3.0,751.0,376162,2010-01-01,1,0,≤10,3924.0,4675.0,2.5,95.861875637105,35316.0,Winter,5,5.0,5,5,4.0,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
20,8,2007,2008,GLQ,1704.0,1704,1704,2,2008.0,RFn,3.0,772.0,306000,2010-05-01,3,2,≤10,3408.0,4180.0,2.0,89.78873239436619,27264.0,Spring,4,5.0,5,4,4.0,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False
20,8,2009,2010,Unf,1544.0,1544,1544,2,2009.0,RFn,3.0,868.0,290941,2010-06-01,1,0,≤10,3088.0,3956.0,2.0,94.2166450777202,24704.0,Summer,4,4.0,5,4,0.0,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
20,7,2005,2005,BLQ,1541.0,1541,1541,2,2005.0,RFn,2.0,532.0,220000,2010-05-01,5,5,≤10,3082.0,3614.0,2.0,71.38221933809214,21574.0,Spring,4,4.0,5,4,4.0,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False
20,9,2005,2005,GLQ,1698.0,1698,1698,2,2005.0,Fin,3.0,730.0,275000,2010-06-01,5,5,≤10,3396.0,4126.0,2.0,80.97762073027091,30564.0,Summer,4,5.0,5,5,4.0,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True
20,8,2005,2006,GLQ,1822.0,1822,1822,2,2005.0,RFn,3.0,678.0,259000,2010-02-01,5,4,≤10,3644.0,4322.0,2.0,71.07574094401757,29152.0,Winter,4,5.0,5,5,4.0,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
20,7,2004,2004,GLQ,1517.0,1535,1535,2,2004.0,RFn,2.0,532.0,214000,2010-03-01,6,6,≤10,3052.0,3584.0,2.0,70.11795543905636,21364.0,Spring,4,4.0,5,4,0.0,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
120,7,2009,2010,GLQ,1358.0,1358,1358,2,2010.0,RFn,2.0,484.0,224000,2010-06-01,1,0,≤10,2716.0,3200.0,2.0,82.47422680412372,19012.0,Summer,4,4.0,5,4,4.0,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
60,8,2002,2002,GLQ,1671.0,1687,2250,2,2002.0,Fin,3.0,756.0,320000,2010-06-01,8,8,≤10,3921.0,4677.0,2.5,81.6118337158888,31368.0,Summer,4,4.0,5,4,5.0,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False
120,9,2005,2005,GLQ,1752.0,1752,1752,2,2005.0,RFn,2.0,576.0,319900,2010-02-01,5,5,≤10,3504.0,4080.0,2.0,91.29566210045662,31536.0,Winter,5,5.0,5,5,4.0,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False
120,8,2006,2006,GLQ,1370.0,1370,1370,2,2006.0,RFn,2.0,484.0,205000,2010-04-01,4,4,≤10,2740.0,3224.0,2.0,74.81751824817518,21920.0,Spring,4,4.0,5,4,4.0,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
160,7,2003,2003,Unf,764.0,764,1626,2,2003.0,RFn,2.0,474.0,175500,2010-06-01,7,7,≤10,2390.0,2864.0,2.5,73.43096234309624,16730.0,Summer,4,4.0,5,4,0.0,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False
20,6,2005,2005,Unf,1324.0,1324,1324,2,2005.0,Fin,2.0,430.0,199500,2010-01-01,5,5,≤10,2648.0,3078.0,2.0,75.33987915407855,15888.0,Winter,4,4.0,5,4,0.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
120,7,2006,2006,GLQ,1145.0,1145,1145,2,2006.0,Fin,2.0,437.0,160000,2010-01-01,4,4,≤10,2290.0,2727.0,2.0,69.86899563318778,16030.0,Winter,4,4.0,5,4,0.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False
120,8,2004,2005,GLQ,1256.0,1269,1269,2,2004.0,Fin,2.0,430.0,192000,2010-04-01,6,5,≤10,2525.0,2955.0,2.0,76.03960396039604,20200.0,Spring,4,4.0,5,4,3.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False
80,7,2004,2004,GLQ,384.0,744,1374,2,2004.0,Fin,2.0,400.0,184500,2010-06-01,6,6,≤10,1758.0,2158.0,2.5,104.94880546075085,12306.0,Summer,4,4.0,5,4,4.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
60,6,2002,2002,GLQ,860.0,860,1960,2,2002.0,Fin,2.0,440.0,216500,2010-05-01,8,8,≤10,2820.0,3260.0,2.5,76.77304964539007,16920.0,Spring,4,4.0,5,4,3.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False
60,7,2004,2004,Unf,847.0,847,1733,2,2004.0,Fin,2.0,433.0,185088,2010-04-01,6,6,≤10,2580.0,3013.0,2.5,71.73953488372094,18060.0,Spring,4,4.0,5,4,4.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
